tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
9868762,0.98,-0.06,0.06,0.20,-23.35,-8.60,-5.51,-634,1194,42,-1045,857,21,35,4,244
9868791,0.98,-0.06,0.06,0.20,-23.64,-8.57,-5.58,-603,1262,-102,-1063,904,-133,35,4,243
9868820,0.98,-0.06,0.06,0.20,-23.83,-8.51,-5.61,-601,1291,-260,-1091,904,-293,35,4,243
9868855,0.97,-0.03,0.05,0.23,-26.94,-6.79,-1.99,26,-28,-292,9,-37,-291,35,4,243
9868881,0.97,-0.03,0.05,0.23,-27.03,-6.59,-1.82,40,-95,-420,41,-100,-418,35,4,243
9868910,0.97,-0.03,0.05,0.23,-27.14,-6.38,-1.57,27,-204,-467,76,-204,-461,35,4,242
9868938,0.97,-0.02,0.05,0.23,-27.28,-6.20,-1.28,1,-306,-333,111,-294,-324,35,4,241
9868967,0.97,-0.02,0.05,0.24,-27.44,-6.07,-1.05,-19,-364,-169,135,-342,-159,35,4,241
9868996,0.97,-0.02,0.05,0.24,-27.64,-6.00,-0.87,11,-354,-104,164,-315,-99,35,4,241
9869025,0.97,-0.02,0.05,0.24,-27.82,-5.95,-0.69,56,-262,-148,158,-214,-149,35,4,242
9869054,0.97,-0.02,0.05,0.24,-27.98,-5.94,-0.57,203,0,-401,143,71,-419,35,4,242
9869082,0.97,-0.02,0.05,0.24,-28.09,-6.07,-0.54,108,29,-515,35,46,-523,35,4,242
9869111,0.97,-0.02,0.05,0.24,-28.18,-6.06,-0.40,21,100,-504,-73,69,-504,35,4,243
9869139,0.97,-0.01,0.05,0.24,-28.28,-6.03,-0.21,-35,178,-395,-150,119,-389,35,4,243
9869169,0.97,-0.01,0.05,0.24,-28.32,-6.00,-0.04,-14,242,-182,-143,197,-179,35,4,244
9869197,0.97,-0.01,0.05,0.24,-28.33,-6.03,0.07,-75,268,93,-183,205,100,35,4,244
9869235,0.97,-0.00,0.03,0.22,-25.73,-3.89,0.39,10,-53,-37,29,-44,-37,35,4,244
9869256,0.97,-0.00,0.03,0.22,-25.63,-3.90,0.48,11,-72,-62,36,-61,-63,35,4,244
9869284,0.97,-0.00,0.03,0.22,-25.51,-3.89,0.59,32,-116,-90,72,-92,-93,35,4,244
9869312,0.97,-0.00,0.03,0.22,-25.41,-3.87,0.72,41,-120,-77,83,-92,-81,35,4,244
9869340,0.98,-0.00,0.03,0.22,-25.35,-3.86,0.84,70,-114,-46,108,-73,-52,36,4,243
9869368,0.98,0.00,0.03,0.22,-25.33,-3.85,0.94,92,-136,-35,138,-84,-43,35,4,243
9869397,0.98,0.00,0.03,0.22,-25.33,-3.87,1.05,107,-147,-23,157,-87,-32,35,4,243
9869425,0.98,0.00,0.04,0.22,-25.34,-3.92,1.17,168,-92,79,196,-10,65,35,4,243
9869453,0.97,0.00,0.04,0.22,-25.35,-4.03,1.29,127,-105,28,161,-40,16,35,4,243
9869481,0.97,0.00,0.04,0.22,-25.36,-4.14,1.41,74,-78,-6,99,-38,-13,35,4,244
9869508,0.97,0.00,0.04,0.22,-25.37,-4.21,1.51,92,-65,3,110,-19,-5,36,4,244
9869535,0.97,0.01,0.04,0.22,-25.39,-4.29,1.59,93,-80,0,117,-32,-9,35,4,244
9869563,0.97,0.01,0.04,0.22,-25.42,-4.37,1.69,80,-71,0,102,-29,-8,35,4,244
9869590,0.97,0.01,0.04,0.22,-25.43,-4.45,1.78,78,-58,-18,93,-19,-25,35,4,244
9869625,0.98,0.01,0.04,0.21,-24.57,-4.50,1.76,17,-48,-104,26,-37,-106,35,4,244
9869649,0.98,0.01,0.04,0.21,-24.56,-4.48,1.75,16,-48,-107,25,-37,-109,35,4,244
9869677,0.98,0.01,0.04,0.21,-24.56,-4.46,1.75,28,-46,-101,36,-30,-104,36,4,244
9869705,0.98,0.01,0.04,0.21,-24.56,-4.44,1.74,41,-47,-92,48,-26,-96,35,4,244
9869733,0.98,0.01,0.04,0.21,-24.56,-4.42,1.74,40,-44,-93,46,-23,-97,35,4,244
9869761,0.98,0.01,0.04,0.21,-24.56,-4.42,1.74,38,-40,-95,43,-21,-98,35,4,244
9869789,0.98,0.01,0.04,0.21,-24.55,-4.41,1.73,31,-32,-88,34,-16,-91,35,4,244
9869816,0.98,0.01,0.04,0.21,-24.54,-4.39,1.72,32,-44,-79,40,-27,-82,35,4,244
9869844,0.98,0.01,0.04,0.21,-24.54,-4.37,1.73,36,-36,-81,40,-18,-84,35,4,244
9869872,0.98,0.01,0.04,0.21,-24.54,-4.36,1.72,40,-46,-78,48,-25,-82,35,4,244
9869900,0.98,0.01,0.04,0.21,-24.53,-4.35,1.72,40,-35,-76,44,-15,-79,35,4,244
9869927,0.98,0.01,0.04,0.21,-24.53,-4.34,1.72,35,-38,-85,40,-20,-88,35,4,244
9869955,0.98,0.01,0.04,0.21,-24.53,-4.34,1.71,26,-39,-89,32,-25,-91,35,4,244
9869983,0.98,0.01,0.04,0.21,-24.53,-4.33,1.71,28,-42,-87,35,-26,-90,35,4,244
9870015,0.98,0.01,0.04,0.21,-24.50,-4.15,1.66,18,-32,-74,23,-21,-76,35,4,244
9870041,0.98,0.01,0.04,0.21,-24.50,-4.14,1.66,16,-34,-70,23,-24,-71,35,4,244
9870069,0.98,0.01,0.04,0.21,-24.50,-4.14,1.66,22,-32,-68,27,-20,-70,35,4,244
9870097,0.98,0.01,0.04,0.21,-24.49,-4.13,1.65,23,-31,-71,28,-18,-73,35,4,244
9870124,0.98,0.01,0.04,0.21,-24.49,-4.12,1.65,20,-31,-66,25,-20,-68,35,4,244
9870152,0.98,0.01,0.04,0.21,-24.49,-4.12,1.65,22,-32,-67,28,-20,-69,35,4,244
9870180,0.98,0.01,0.04,0.21,-24.49,-4.11,1.65,25,-34,-61,32,-20,-63,35,4,244
9870208,0.98,0.01,0.04,0.21,-24.49,-4.10,1.64,25,-31,-67,30,-18,-69,35,4,244
9870235,0.98,0.01,0.04,0.21,-24.49,-4.10,1.65,30,-30,-71,34,-15,-73,36,4,244
9870263,0.98,0.01,0.04,0.21,-24.49,-4.10,1.64,29,-28,-77,31,-13,-79,35,4,244
9870291,0.98,0.01,0.04,0.21,-24.49,-4.09,1.64,22,-28,-78,25,-16,-80,35,4,244
9870319,0.98,0.01,0.04,0.21,-24.49,-4.08,1.64,24,-27,-82,26,-14,-84,35,4,244
9870346,0.98,0.01,0.04,0.21,-24.49,-4.08,1.63,28,-32,-84,32,-17,-86,35,4,244
9870374,0.98,0.01,0.04,0.21,-24.49,-4.08,1.63,29,-30,-83,32,-15,-85,35,4,244
9870405,0.98,0.01,0.04,0.21,-24.46,-3.98,1.59,23,-26,-65,26,-14,-67,35,4,244
9870433,0.98,0.01,0.04,0.21,-24.46,-3.97,1.59,21,-24,-65,24,-13,-66,35,4,244
9870460,0.98,0.01,0.04,0.21,-24.46,-3.96,1.59,20,-26,-61,24,-15,-62,35,4,244
9870488,0.98,0.01,0.04,0.21,-24.46,-3.96,1.59,22,-25,-64,25,-13,-66,35,4,244
9870516,0.98,0.01,0.04,0.21,-24.46,-3.96,1.58,22,-24,-63,25,-12,-65,35,4,244
9870544,0.98,0.01,0.04,0.21,-24.45,-3.96,1.58,23,-22,-63,25,-10,-65,35,4,244
9870571,0.98,0.01,0.04,0.21,-24.45,-3.95,1.58,28,-25,-67,30,-11,-69,35,4,244
9870599,0.98,0.01,0.04,0.21,-24.45,-3.95,1.58,33,-25,-71,35,-9,-73,35,4,244
9870627,0.98,0.01,0.04,0.21,-24.45,-3.95,1.58,30,-26,-68,32,-11,-70,35,4,244
9870654,0.98,0.01,0.04,0.21,-24.45,-3.94,1.58,20,-23,-70,22,-12,-71,35,4,244
9870682,0.98,0.01,0.04,0.21,-24.45,-3.94,1.58,19,-20,-74,20,-10,-75,35,4,244
9870710,0.98,0.01,0.04,0.21,-24.45,-3.93,1.57,21,-21,-78,21,-10,-79,35,4,244
9870738,0.98,0.01,0.04,0.21,-24.45,-3.93,1.57,19,-23,-78,20,-13,-79,35,4,244
9870765,0.98,0.01,0.04,0.21,-24.45,-3.93,1.57,15,-22,-82,16,-14,-83,35,4,244
9870805,0.98,0.01,0.04,0.21,-24.44,-3.84,1.54,24,-15,-77,22,-3,-78,35,4,244
9870826,0.98,0.01,0.04,0.21,-24.44,-3.84,1.54,17,-16,-74,16,-7,-75,35,4,244
9870854,0.98,0.01,0.04,0.21,-24.44,-3.84,1.54,18,-12,-82,15,-3,-83,36,4,244
9870882,0.98,0.01,0.04,0.21,-24.44,-3.83,1.53,20,-12,-78,17,-2,-79,35,4,244
9870909,0.98,0.01,0.04,0.21,-24.44,-3.83,1.53,23,-10,-71,19,0,-72,35,4,244
9870937,0.98,0.01,0.04,0.21,-24.44,-3.83,1.53,18,-12,-68,16,-3,-69,35,4,244
9870964,0.98,0.01,0.04,0.21,-24.44,-3.83,1.53,16,-18,-67,17,-9,-68,35,4,244
9870992,0.98,0.01,0.04,0.21,-24.44,-3.83,1.53,16,-22,-71,18,-13,-72,35,4,244
9871020,0.98,0.01,0.04,0.21,-24.44,-3.82,1.53,18,-20,-74,19,-11,-75,35,4,244
9871047,0.98,0.01,0.04,0.21,-24.44,-3.82,1.53,19,-21,-71,20,-11,-72,35,4,244
9871075,0.98,0.01,0.04,0.21,-24.44,-3.81,1.53,15,-15,-75,14,-7,-76,35,4,244
9871102,0.98,0.01,0.04,0.21,-24.44,-3.81,1.53,15,-13,-76,13,-5,-77,35,4,244
9871130,0.98,0.01,0.04,0.21,-24.44,-3.81,1.53,12,-12,-70,10,-6,-70,35,4,244
9871158,0.98,0.01,0.04,0.21,-24.44,-3.81,1.52,13,-13,-69,12,-6,-70,35,4,244
9871195,0.98,0.01,0.03,0.21,-24.43,-3.74,1.50,18,-9,-81,14,-1,-82,35,4,244
9871216,0.98,0.01,0.03,0.21,-24.43,-3.74,1.50,18,-10,-77,15,-1,-78,35,4,244
9871243,0.98,0.01,0.03,0.21,-24.43,-3.74,1.50,17,-10,-74,14,-2,-75,35,4,244
9871271,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,16,-12,-70,14,-4,-71,35,4,244
9871298,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,12,-10,-72,9,-4,-72,35,4,244
9871326,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,14,-10,-67,12,-3,-68,35,4,244
9871354,0.98,0.01,0.03,0.21,-24.43,-3.73,1.49,12,-13,-64,11,-7,-64,35,4,244
