tick,q1,q2,q3,q4,yaw,pitch,roll,axR,ayR,azR,axW,ayW,azW,temp,Head1,Head2
58898,0.99,0.00,-0.10,0.03,-4.03,11.22,-0.12,-21,26,56,-33,23,50,35,2,128
58908,0.99,0.00,-0.10,0.03,-4.03,11.22,-0.15,-18,24,43,-27,22,38,35,2,128
58918,0.99,0.00,-0.10,0.03,-4.03,11.23,-0.16,-14,13,35,-21,11,31,35,2,128
58929,0.99,0.00,-0.10,0.03,-4.03,11.24,-0.18,-8,7,28,-13,6,25,35,2,128
58939,0.99,0.00,-0.10,0.03,-4.03,11.24,-0.19,-1,-8,28,-5,-8,27,35,2,128
58949,0.99,0.00,-0.10,0.03,-4.03,11.24,-0.20,5,-20,26,1,-19,26,35,2,128
58959,0.99,0.00,-0.10,0.03,-4.03,11.25,-0.20,12,-31,18,10,-30,20,35,2,128
58970,0.99,0.00,-0.10,0.03,-4.03,11.26,-0.21,21,-36,2,22,-34,6,35,2,128
58980,0.99,0.00,-0.10,0.03,-4.02,11.26,-0.22,24,-35,-9,27,-33,-4,35,2,128
58990,0.99,0.00,-0.10,0.03,-4.01,11.27,-0.24,31,-27,-8,33,-24,-1,35,2,128
59000,0.99,0.00,-0.10,0.03,-4.00,11.27,-0.26,24,-16,5,23,-14,9,35,2,128
59010,0.99,0.00,-0.10,0.03,-3.99,11.27,-0.27,17,6,19,12,6,21,35,2,128
59020,0.99,0.00,-0.10,0.03,-3.99,11.28,-0.27,14,19,21,8,19,23,35,2,128
59030,0.99,0.00,-0.10,0.03,-3.99,11.28,-0.27,13,28,10,8,28,12,35,2,128
59041,0.99,0.00,-0.10,0.03,-3.99,11.29,-0.27,10,44,-1,6,44,0,35,2,128
59051,0.99,0.00,-0.10,0.03,-3.99,11.29,-0.28,5,47,-5,2,47,-4,35,2,128
59061,0.99,0.00,-0.10,0.03,-3.98,11.29,-0.30,7,29,14,2,29,14,35,2,128
59071,0.99,0.00,-0.10,0.03,-3.98,11.29,-0.31,1,17,20,-4,16,19,35,2,128
59081,0.99,0.00,-0.10,0.03,-3.98,11.30,-0.31,-10,20,14,-13,19,11,35,2,128
59091,0.99,0.00,-0.10,0.03,-3.98,11.30,-0.31,-22,35,8,-25,33,3,35,2,128
59101,0.99,0.00,-0.10,0.03,-3.98,11.29,-0.32,-21,55,17,-27,53,12,35,2,128
59111,0.99,0.00,-0.10,0.03,-3.97,11.29,-0.31,-25,62,22,-32,59,16,35,2,128
59121,0.99,0.00,-0.10,0.03,-3.97,11.29,-0.31,-28,60,29,-37,57,22,35,2,128
59131,0.99,0.00,-0.10,0.03,-3.96,11.29,-0.31,-24,61,23,-32,59,17,35,2,128
